0,1,2
Love Me Do,McCartney,Lennon/McCartney
P.S. I Love You,McCartney,McCartney
Please Please Me,Lennon,Lennon/McCartney
Ask Me Why,Lennon,Lennon
There´s a Place,Lennon,Lennon
I Saw Her Standing There,McCartney,McCartney
Do You Want to Know a Secret,Lennon,Harrison
Misery,Lennon/McCartney,Lennon/McCartney
A Taste of Honey,Scott/Marlow,McCartney
Anna (Go to Him),Alexander,Lennon
Boys,Dixon/Farrell,Starr
Chains,Goffin/King,Harrison
Baby It´s You,David/Williams/Bacharach,Lennon
Twist and Shout,Medley/Russel,Lennon
Hold Me Tight,McCartney,McCartney
It Won´t Be Long,Lennon,Lennon
All My Loving,McCartney ,McCartney
I Wanna Be Your Man,Lennon/McCartney,Starr
Little Child,Lennon/McCartney,Lennon/McCartney
All I´ve Got to Do,Lennon,Lennon
Not a Second Time,Lennon,Lennon
Don´t Bother Me,Harrison,Harrison
Roll Over Beethoven,Berry,Harrison
You Really Got a Hold on Me ,Robinson,Lennon/Harrison
Money (That´s What I Want),Bradford/Gordy,Lennon
Devil in Her Heart,Drapkin,Harrison
Till There Was You,Wilson,McCartney
Please Mr Postman,"Holland/Bateman/Garrett/ 
Dobbins/Gorman",Lennon
Long Tall Sally,"Johnson/Penniman/ 
Blackwell",McCartney
I Call Your Name,Lennon,Lennon
Matchbox,Perkins,Starr
Slow Down,Williams,Lennon
A Hard Day's Night 1964,,
Can´t Buy Me Love,McCartney,McCartney
You Can´t Do That,Lennon,Lennon
And I Love Her,McCartney,McCartney
I Should Have Known Better,Lennon,Lennon
Tell Me Why ,Lennon,Lennon
If I fell,Lennon,Lennon/McCartney
I´m Happy Just to Dance With You,Lennon,Harrison
A Hard Day´s Night,Lennon,Lennon/McCartney
I´ll Cry Instead,Lennon,Lennon
I´ll Be Back,Lennon,Lennon
Any Time at All,Lennon,Lennon
Things We Said Today,McCartney,McCartney
When I Get Home,Lennon,Lennon
Baby´s in Black,Lennon/McCartney,Lennon/McCartney
I´m a Loser,Lennon,Lennon
Every Little Thing,McCartney,Lennon
I Don´t Want to Spoil the Party,Lennon,Lennon/Harrison
What You´re Doing,McCartney,McCartney
No Reply,Lennon,Lennon
Eight Days a Week,McCartney,Lennon/McCartney
I´ll Follow the Sun,McCartney,McCartney
Mr Moonlight,Johnson,Lennon
"Kansas City/Hey, Hey, Hey, Hey",Leiber/Stoller/Penniman,McCartney
Everybody´s Trying to Be My Baby,Perkins,Harrison
Rock and Roll Music,Berry,Lennon
Words of Love,Holly,Lennon/McCartney
Honey Don´t,Perkins,Starr
Ticket to Ride,Lennon,Lennon
Another Girl,McCartney,McCartney
I Need You,Harrison,Harrison
The Night Before,McCartney,McCartney
You Like Me Too Much,Harrison,Harrison
You´ve Got to Hide Your Love Away,Lennon,Lennon
Tell Me What You See,McCartney,McCartney
You´re Going to Lose That Girl,Lennon,Lennon
Help!,Lennon,Lennon
I´ve Just Seen a Face,McCartney,McCartney
Yesterday ,McCartney,McCartney
It´s Only Love,Lennon,Lennon
Dizzy Miss Lizzy,Williams,Lennon
Act Naturally,Morrison/Russel,Starr
Wait,Lennon/McCartney,Lennon/McCartney
Run for Your Life,Lennon,Lennon
Norwegian Wood (This Bird Has Flown),Lennon,Lennon
Drive My Car,McCartney,Lennon/McCartney
If I Need Someone ,Harrison,Harrison
In My Life,Lennon/McCartney,Lennon
Nowhere Man,Lennon,Lennon
I´m Looking Through You,McCartney,McCartney
Michelle,McCartney,McCartney
What Goes On,Lennon/McCartney,Starr
Think for Yourself,Harrison,Harrison
The Word,Lennon/McCartney,Lennon/McCartney
You Won´t See Me,McCartney,McCartney
Girl,Lennon,Lennon
Tomorrow Never Knows,Lennon,Lennon
Got to Get You Into My Life,McCartney,McCartney
Love You to,Harrison,Harrison
Doctor Robert,Lennon,Lennon
And Your Bird Can Sing,Lennon,Lennon
Taxman,Harrison,Harrison
I´m Only Sleeping,Lennon,Lennon
Eleanor Rigby,McCartney,McCartney
For No One,McCartney,McCartney
Yellow Submarine,McCartney,Starr
I Want to Tell You,Harrison,Harrison
Good Day Sunshine ,McCartney,McCartney
"Here, There and Everywhere",McCartney,McCartney
She Said She Said,Lennon,Lennon
When I´m 64,McCartney,McCartney
A Day in the Life,Lennon/McCartney,Lennon/McCartney
Sgt. Pepper´s Lonely Hearts Club Band,McCartney,McCartney
Good Morning Good Morning,Lennon,Lennon
Fixing a Hole,McCartney,McCartney
